data_provider_1,data_provider_2,system_ID_1,system_ID_2,installation_date,system_size_DC,total_installed_price,rebate_or_grant,customer_segment,expansion_system,multiple_phase_system,new_construction,tracking,ground_mounted,zip_code,city,state,utility_service_territory,third_party_owned,installer_name,self_installed,azimuth_1,azimuth_2,azimuth_3,tilt_1,tilt_2,tilt_3,module_manufacturer_1,module_model_1,module_quantity_1,module_manufacturer_2,module_model_2,module_quantity_2,module_manufacturer_3,module_model_3,module_quantity_3,additional_modules,technology_module_1,technology_module_2,technology_module_3,BIPV_module_1,BIPV_module_2,BIPV_module_3,bifacial_module_1,bifacial_module_2,bifacial_module_3,nameplate_capacity_module_1,nameplate_capacity_module_2,nameplate_capacity_module_3,efficiency_module_1,efficiency_module_2,efficiency_module_3,inverter_manufacturer_1,inverter_model_1,inverter_quantity_1,inverter_manufacturer_2,inverter_model_2,inverter_quantity_2,inverter_manufacturer_3,inverter_model_3,inverter_quantity_3,additional_inverters,micro_inverter_1,micro_inverter_2,micro_inverter_3,built_in_meter_inverter_1,built_in_meter_inverter_2,built_in_meter_inverter_3,output_capacity_inverter_1,output_capacity_inverter_2,output_capacity_inverter_3,DC_optimizer,inverter_loading_ratio,dateOfBatteryInstall,battery_manufacturer,battery_model,battery_rated_capacity_kW,battery_rated_capacity_kWh
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,GBI-JH4-00002,-1,26-Sep-2003,26.4,224000,241308,COM,0,0,-1,0,-1,02540,"Falmouth",MA,"NSTAR DBA EverSource",-1,"Northern Pacific Power",0,170,-1,-1,8,-1,-1,"-1",-1,88,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",11,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.96,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00003,-1,17-Apr-2003,2.2,16621,9256.5,RES,0,0,-1,0,-1,02132,"Boston",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,225,-1,-1,20,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00004,-1,05-May-2003,2.2,16621,9256.5,RES,0,0,-1,0,-1,02458,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,180,-1,-1,20,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00005,-1,25-Jun-2003,2.2,16621,9256.5,RES,0,0,-1,0,-1,02459,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,165,-1,-1,30,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00006,-1,05-May-2003,2.1,16006.95,8835.75,RES,0,1,-1,0,-1,02464,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,178,-1,-1,25,-1,-1,"-1",-1,21,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.84,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00007,-1,15-May-2003,2.2,16620.2,9256.5,RES,0,0,-1,0,-1,02460,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,150,-1,-1,30,-1,-1,"-1",-1,22,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.88,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00008,-1,13-Jun-2003,2.1,16006.95,8835.75,RES,0,0,-1,0,-1,02465,"Newton",MA,"NSTAR DBA EverSource",-1,"Zapotec Energy",0,171,-1,-1,45,-1,-1,"-1",-1,21,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,0.84,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00010,-1,09-May-2003,2.24,18616.53,8568,RES,0,0,-1,0,-1,02568,"Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,165,-1,-1,37,-1,-1,"-1",-1,8,"-1",-1,4,"-1",-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,1.06666666666667,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-LG8-00011,-1,06-Jun-2003,3.032,63716,11598.25,COM,0,0,-1,0,-1,02126,"Boston",MA,"NSTAR DBA EverSource",-1,"Solar Works",0,180,-1,-1,19,-1,-1,"-1",-1,228,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2500U",2,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,1,-1,-1,2.5,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00012,-1,18-Jun-2003,1.28,11900,4896,COM,0,0,-1,0,-1,02535,"Chilmark",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,180,-1,-1,42,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00013,-1,08-Jul-2003,1.92,14869,7344,RES,0,0,-1,0,-1,02575,"West Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,180,-1,-1,37,-1,-1,"-1",-1,8,"-1",-1,4,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,0.914285714285714,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00015,-1,14-Aug-2003,1.28,11900,4896,RES,0,0,-1,0,-1,02557,"Oak Bluffs",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,190,-1,-1,20,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00016,-1,22-Jul-2003,1.28,11000,4896,RES,0,0,-1,0,-1,02575,"West Tisbury",MA,"NSTAR DBA EverSource",-1,"Mv Electricians",0,165,-1,-1,37,-1,-1,"-1",-1,8,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
"Massachusetts Clean Energy Center",Massachusetts Department of Energy Resources,CPV-MA19-00017,-1,31-Oct-2003,1.2,11900,4590,RES,0,0,-1,0,-1,02630,"Barnstable",MA,"NSTAR DBA EverSource",-1,"Tj Design",0,190,-1,-1,19,-1,-1,"-1",-1,4,"-1",-1,-1,"-1",-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"SMA America","SWR 2100U",1,"-1",-1,-1,"-1",-1,-1,0,0,-1,-1,0,-1,-1,2.1,-1,-1,0,-1,-1,"-1",-1,-1,-1
